CELL	chrom	start	end	CN states
leaf3	chr_1	5000000	6000000	1,1
leaf4	chr_1	5000000	6000000	1,1
leaf5	chr_1	5000000	6000000	1,1
leaf6	chr_1	5000000	6000000	1,1
leaf7	chr_1	5000000	6000000	1,1
leaf8	chr_1	5000000	6000000	1,1
leaf9	chr_1	5000000	6000000	1,1
leaf10	chr_1	5000000	6000000	1,1
leaf1	chr_1	6000000	7000000	1,1
leaf2	chr_1	6000000	7000000	1,1
leaf3	chr_1	6000000	7000000	1,1
leaf4	chr_1	6000000	7000000	1,1
leaf5	chr_1	6000000	7000000	1,1
leaf6	chr_1	6000000	7000000	1,1
leaf7	chr_1	6000000	7000000	1,1
leaf8	chr_1	6000000	7000000	1,1
leaf9	chr_1	6000000	7000000	1,1
leaf10	chr_1	6000000	7000000	1,1
leaf1	chr_1	7000000	8000000	1,1
leaf2	chr_1	7000000	8000000	1,1
leaf3	chr_1	7000000	8000000	1,1
leaf4	chr_1	7000000	8000000	1,1
leaf5	chr_1	7000000	8000000	1,1
leaf6	chr_1	7000000	8000000	1,1
leaf7	chr_1	7000000	8000000	1,1
leaf8	chr_1	7000000	8000000	1,1
leaf9	chr_1	7000000	8000000	1,1
leaf10	chr_1	7000000	8000000	1,1
leaf1	chr_1	8000000	9000000	1,1
leaf2	chr_1	8000000	9000000	1,1
leaf3	chr_1	8000000	9000000	1,1
leaf4	chr_1	8000000	9000000	1,1
leaf5	chr_1	8000000	9000000	1,1
leaf6	chr_1	8000000	9000000	1,1
leaf7	chr_1	8000000	9000000	1,1
leaf8	chr_1	8000000	9000000	1,1
leaf9	chr_1	8000000	9000000	1,1
leaf10	chr_1	8000000	9000000	1,1
leaf1	chr_1	9000000	10000000	1,1
leaf2	chr_1	9000000	10000000	1,1
leaf3	chr_1	9000000	10000000	1,1
leaf4	chr_1	9000000	10000000	1,1
leaf5	chr_1	9000000	10000000	1,1
leaf6	chr_1	9000000	10000000	1,1
leaf7	chr_1	9000000	10000000	1,1
leaf8	chr_1	9000000	10000000	1,1
leaf9	chr_1	9000000	10000000	1,1
leaf10	chr_1	9000000	10000000	1,1
leaf1	chr_1	10000000	11000000	1,1
leaf2	chr_1	10000000	11000000	1,1
leaf3	chr_1	10000000	11000000	1,1
leaf4	chr_1	10000000	11000000	1,1
leaf5	chr_1	10000000	11000000	1,1
leaf6	chr_1	10000000	11000000	1,1
leaf7	chr_1	10000000	11000000	1,1
leaf8	chr_1	10000000	11000000	1,1
leaf9	chr_1	10000000	11000000	1,1
leaf10	chr_1	10000000	11000000	1,1
leaf1	chr_1	11000000	12000000	1,1
leaf2	chr_1	11000000	12000000	1,1
leaf3	chr_1	11000000	12000000	1,1
leaf4	chr_1	11000000	12000000	1,1
leaf5	chr_1	11000000	12000000	1,1
leaf6	chr_1	11000000	12000000	1,1
leaf7	chr_1	11000000	12000000	1,1
leaf8	chr_1	11000000	12000000	1,1
leaf9	chr_1	11000000	12000000	1,1
leaf10	chr_1	11000000	12000000	1,1
leaf1	chr_1	12000000	13000000	1,1
leaf2	chr_1	12000000	13000000	1,1
leaf3	chr_1	12000000	13000000	1,1
leaf4	chr_1	12000000	13000000	1,1
leaf5	chr_1	12000000	13000000	1,1
leaf6	chr_1	12000000	13000000	1,1
leaf7	chr_1	12000000	13000000	1,1
leaf8	chr_1	12000000	13000000	1,1
leaf9	chr_1	12000000	13000000	1,1
leaf10	chr_1	12000000	13000000	1,1
leaf1	chr_1	13000000	14000000	1,1
leaf2	chr_1	13000000	14000000	1,1
leaf3	chr_1	13000000	14000000	1,1
leaf4	chr_1	13000000	14000000	1,1
leaf5	chr_1	13000000	14000000	1,1
leaf6	chr_1	13000000	14000000	1,1
leaf7	chr_1	13000000	14000000	1,1
leaf8	chr_1	13000000	14000000	1,1
leaf9	chr_1	13000000	14000000	1,1
leaf10	chr_1	13000000	14000000	1,1
leaf1	chr_1	14000000	15000000	1,1
leaf2	chr_1	14000000	15000000	1,1
leaf3	chr_1	14000000	15000000	1,1
leaf4	chr_1	14000000	15000000	1,1
leaf5	chr_1	14000000	15000000	1,1
leaf6	chr_1	14000000	15000000	1,1
leaf7	chr_1	14000000	15000000	1,1
leaf8	chr_1	14000000	15000000	1,1
leaf9	chr_1	14000000	15000000	1,1
leaf10	chr_1	14000000	15000000	1,1
leaf1	chr_1	15000000	16000000	1,1
leaf2	chr_1	15000000	16000000	1,1
leaf3	chr_1	15000000	16000000	1,1
leaf4	chr_1	15000000	16000000	1,1
leaf5	chr_1	15000000	16000000	1,1
leaf6	chr_1	15000000	16000000	1,1
leaf7	chr_1	15000000	16000000	1,1
leaf8	chr_1	15000000	16000000	1,1
leaf9	chr_1	15000000	16000000	1,1
leaf10	chr_1	15000000	16000000	1,1
leaf1	chr_1	16000000	17000000	1,1
leaf2	chr_1	16000000	17000000	1,1
leaf3	chr_1	16000000	17000000	1,1
leaf4	chr_1	16000000	17000000	1,1
leaf5	chr_1	16000000	17000000	1,1
leaf6	chr_1	16000000	17000000	1,1
leaf7	chr_1	16000000	17000000	1,1
leaf8	chr_1	16000000	17000000	1,1
leaf9	chr_1	16000000	17000000	1,1
leaf10	chr_1	16000000	17000000	1,1
leaf1	chr_1	17000000	18000000	1,1
leaf2	chr_1	17000000	18000000	1,1
leaf3	chr_1	17000000	18000000	1,1
leaf4	chr_1	17000000	18000000	1,1
leaf5	chr_1	17000000	18000000	1,1
leaf6	chr_1	17000000	18000000	1,1
leaf7	chr_1	17000000	18000000	1,1
leaf8	chr_1	17000000	18000000	1,1
leaf9	chr_1	17000000	18000000	1,1
leaf10	chr_1	17000000	18000000	1,1
leaf1	chr_1	18000000	19000000	1,1
leaf2	chr_1	18000000	19000000	1,1
leaf3	chr_1	18000000	19000000	1,1
leaf4	chr_1	18000000	19000000	1,1
leaf5	chr_1	18000000	19000000	1,1
leaf6	chr_1	18000000	19000000	1,1
leaf7	chr_1	18000000	19000000	1,1
leaf8	chr_1	18000000	19000000	1,1
leaf9	chr_1	18000000	19000000	1,1
leaf10	chr_1	18000000	19000000	1,1
leaf1	chr_1	19000000	20000000	1,1
leaf2	chr_1	19000000	20000000	1,1
leaf3	chr_1	19000000	20000000	1,1
leaf4	chr_1	19000000	20000000	1,1
leaf5	chr_1	19000000	20000000	1,1
leaf6	chr_1	19000000	20000000	1,1
leaf7	chr_1	19000000	20000000	1,1
leaf8	chr_1	19000000	20000000	1,1
leaf9	chr_1	19000000	20000000	1,1
leaf10	chr_1	19000000	20000000	1,1
leaf1	chr_1	20000000	21000000	1,1
leaf2	chr_1	20000000	21000000	1,1
leaf3	chr_1	20000000	21000000	1,1
leaf4	chr_1	20000000	21000000	1,1
leaf5	chr_1	20000000	21000000	1,1
leaf6	chr_1	20000000	21000000	1,1
leaf7	chr_1	20000000	21000000	1,1
leaf8	chr_1	20000000	21000000	1,1
leaf9	chr_1	20000000	21000000	1,1
leaf10	chr_1	20000000	21000000	1,1
leaf1	chr_1	21000000	22000000	1,1
leaf2	chr_1	21000000	22000000	1,1
leaf3	chr_1	21000000	22000000	1,1
leaf4	chr_1	21000000	22000000	1,1
leaf5	chr_1	21000000	22000000	1,1
leaf6	chr_1	21000000	22000000	1,1
leaf7	chr_1	21000000	22000000	1,1
leaf8	chr_1	21000000	22000000	1,1
leaf9	chr_1	21000000	22000000	1,1
leaf10	chr_1	21000000	22000000	1,1
leaf1	chr_1	22000000	23000000	1,1
leaf2	chr_1	22000000	23000000	1,1
leaf3	chr_1	22000000	23000000	1,1
leaf4	chr_1	22000000	23000000	1,1
leaf5	chr_1	22000000	23000000	1,1
leaf6	chr_1	22000000	23000000	1,1
leaf7	chr_1	22000000	23000000	1,1
leaf8	chr_1	22000000	23000000	1,1
leaf9	chr_1	22000000	23000000	1,1
leaf10	chr_1	22000000	23000000	1,1
leaf1	chr_1	23000000	24000000	1,1
leaf2	chr_1	23000000	24000000	1,1
leaf3	chr_1	23000000	24000000	1,1
leaf4	chr_1	23000000	24000000	1,1
leaf5	chr_1	23000000	24000000	1,1
leaf6	chr_1	23000000	24000000	1,1
leaf7	chr_1	23000000	24000000	1,1
leaf8	chr_1	23000000	24000000	1,1
leaf9	chr_1	23000000	24000000	1,1
leaf10	chr_1	23000000	24000000	1,1
leaf1	chr_1	24000000	25000000	1,1
leaf2	chr_1	24000000	25000000	1,1
leaf3	chr_1	24000000	25000000	1,1
leaf4	chr_1	24000000	25000000	1,1
leaf5	chr_1	24000000	25000000	1,1
leaf6	chr_1	24000000	25000000	1,1
leaf7	chr_1	24000000	25000000	1,1
leaf8	chr_1	24000000	25000000	1,1
leaf9	chr_1	24000000	25000000	1,1
leaf10	chr_1	24000000	25000000	1,1
leaf1	chr_1	25000000	26000000	1,1
leaf2	chr_1	25000000	26000000	1,1
leaf3	chr_1	25000000	26000000	1,1
leaf4	chr_1	25000000	26000000	1,1
leaf5	chr_1	25000000	26000000	1,1
leaf6	chr_1	25000000	26000000	1,1
leaf7	chr_1	25000000	26000000	1,1
leaf8	chr_1	25000000	26000000	1,1
leaf9	chr_1	25000000	26000000	1,1
leaf10	chr_1	25000000	26000000	1,1
leaf1	chr_1	26000000	27000000	1,1
leaf2	chr_1	26000000	27000000	1,1
leaf3	chr_1	26000000	27000000	1,1
leaf4	chr_1	26000000	27000000	1,1
leaf5	chr_1	26000000	27000000	1,1
leaf6	chr_1	26000000	27000000	1,1
leaf7	chr_1	26000000	27000000	1,1
leaf8	chr_1	26000000	27000000	1,1
leaf9	chr_1	26000000	27000000	1,1
leaf10	chr_1	26000000	27000000	1,1
leaf1	chr_1	27000000	28000000	1,1
leaf2	chr_1	27000000	28000000	1,1
leaf3	chr_1	27000000	28000000	1,1
leaf4	chr_1	27000000	28000000	1,1
leaf5	chr_1	27000000	28000000	1,1
leaf6	chr_1	27000000	28000000	1,1
leaf7	chr_1	27000000	28000000	1,1
leaf8	chr_1	27000000	28000000	1,1
leaf9	chr_1	27000000	28000000	1,1
leaf10	chr_1	27000000	28000000	1,1
leaf1	chr_1	28000000	29000000	1,1
leaf2	chr_1	28000000	29000000	1,1
leaf3	chr_1	28000000	29000000	1,1
leaf4	chr_1	28000000	29000000	1,1
leaf5	chr_1	28000000	29000000	1,1
leaf6	chr_1	28000000	29000000	1,1
leaf7	chr_1	28000000	29000000	1,1
leaf8	chr_1	28000000	29000000	1,1
leaf9	chr_1	28000000	29000000	1,1
leaf10	chr_1	28000000	29000000	1,1
leaf1	chr_1	29000000	30000000	1,1
leaf2	chr_1	29000000	30000000	1,1
leaf3	chr_1	29000000	30000000	1,1
leaf4	chr_1	29000000	30000000	1,1
leaf5	chr_1	29000000	30000000	1,1
leaf6	chr_1	29000000	30000000	1,1
leaf7	chr_1	29000000	30000000	1,1
leaf8	chr_1	29000000	30000000	1,1
leaf9	chr_1	29000000	30000000	1,1
leaf10	chr_1	29000000	30000000	1,1
leaf1	chr_1	30000000	31000000	1,1
leaf2	chr_1	30000000	31000000	1,1
leaf3	chr_1	30000000	31000000	1,1
leaf4	chr_1	30000000	31000000	1,1
leaf5	chr_1	30000000	31000000	1,1
leaf6	chr_1	30000000	31000000	1,1
leaf7	chr_1	30000000	31000000	1,1
leaf8	chr_1	30000000	31000000	1,1
leaf9	chr_1	30000000	31000000	1,1
leaf10	chr_1	30000000	31000000	1,1
leaf1	chr_1	31000000	32000000	1,1
leaf2	chr_1	31000000	32000000	1,1
leaf3	chr_1	31000000	32000000	1,1
leaf4	chr_1	31000000	32000000	1,1
leaf5	chr_1	31000000	32000000	1,1
leaf6	chr_1	31000000	32000000	1,1
leaf7	chr_1	31000000	32000000	1,1
leaf8	chr_1	31000000	32000000	1,1
leaf9	chr_1	31000000	32000000	1,1
leaf10	chr_1	31000000	32000000	1,1
leaf1	chr_1	32000000	33000000	1,1
leaf2	chr_1	32000000	33000000	1,1
leaf3	chr_1	32000000	33000000	1,1
leaf4	chr_1	32000000	33000000	1,1
leaf5	chr_1	32000000	33000000	1,1
leaf6	chr_1	32000000	33000000	1,1
leaf7	chr_1	32000000	33000000	1,1
leaf8	chr_1	32000000	33000000	1,1
leaf9	chr_1	32000000	33000000	1,1
leaf10	chr_1	32000000	33000000	1,1
leaf1	chr_1	33000000	34000000	1,1
leaf2	chr_1	33000000	34000000	1,1
leaf3	chr_1	33000000	34000000	1,1
leaf4	chr_1	33000000	34000000	1,1
leaf5	chr_1	33000000	34000000	1,1
leaf6	chr_1	33000000	34000000	1,1
leaf7	chr_1	33000000	34000000	1,1
leaf8	chr_1	33000000	34000000	1,1
leaf9	chr_1	33000000	34000000	1,1
leaf10	chr_1	33000000	34000000	1,1
leaf1	chr_1	34000000	35000000	1,1
leaf2	chr_1	34000000	35000000	1,1
leaf3	chr_1	34000000	35000000	1,1
leaf4	chr_1	34000000	35000000	1,1
leaf5	chr_1	34000000	35000000	1,1
leaf6	chr_1	34000000	35000000	1,1
leaf7	chr_1	34000000	35000000	1,1
leaf8	chr_1	34000000	35000000	1,1
leaf9	chr_1	34000000	35000000	1,1
leaf10	chr_1	34000000	35000000	1,1
leaf1	chr_1	35000000	36000000	1,1
leaf2	chr_1	35000000	36000000	1,1
leaf3	chr_1	35000000	36000000	1,1
leaf4	chr_1	35000000	36000000	1,1
leaf5	chr_1	35000000	36000000	1,1
leaf6	chr_1	35000000	36000000	1,1
leaf7	chr_1	35000000	36000000	1,1
leaf8	chr_1	35000000	36000000	1,1
leaf9	chr_1	35000000	36000000	1,1
leaf10	chr_1	35000000	36000000	1,1
leaf1	chr_1	36000000	37000000	1,1
leaf2	chr_1	36000000	37000000	1,1
leaf3	chr_1	36000000	37000000	1,1
leaf4	chr_1	36000000	37000000	1,1
leaf5	chr_1	36000000	37000000	1,1
leaf6	chr_1	36000000	37000000	1,1
leaf7	chr_1	36000000	37000000	1,1
leaf8	chr_1	36000000	37000000	1,1
leaf9	chr_1	36000000	37000000	1,1
leaf10	chr_1	36000000	37000000	1,1
leaf1	chr_1	37000000	38000000	1,1
leaf2	chr_1	37000000	38000000	1,1
leaf3	chr_1	37000000	38000000	1,1
leaf4	chr_1	37000000	38000000	1,1
leaf5	chr_1	37000000	38000000	1,1
leaf6	chr_1	37000000	38000000	1,1
leaf7	chr_1	37000000	38000000	1,1
leaf8	chr_1	37000000	38000000	1,1
leaf9	chr_1	37000000	38000000	1,1
leaf10	chr_1	37000000	38000000	1,1
leaf1	chr_1	38000000	39000000	1,1
leaf2	chr_1	38000000	39000000	1,1
leaf3	chr_1	38000000	39000000	1,1
leaf4	chr_1	38000000	39000000	1,1
leaf5	chr_1	38000000	39000000	1,1
leaf6	chr_1	38000000	39000000	1,1
leaf7	chr_1	38000000	39000000	1,1
leaf8	chr_1	38000000	39000000	1,1
leaf9	chr_1	38000000	39000000	1,1
leaf10	chr_1	38000000	39000000	1,1
leaf1	chr_1	39000000	40000000	1,1
leaf2	chr_1	39000000	40000000	1,1
leaf3	chr_1	39000000	40000000	1,1
leaf4	chr_1	39000000	40000000	1,1
leaf5	chr_1	39000000	40000000	1,1
leaf6	chr_1	39000000	40000000	1,1
leaf7	chr_1	39000000	40000000	1,1
leaf8	chr_1	39000000	40000000	1,1
leaf9	chr_1	39000000	40000000	1,1
leaf10	chr_1	39000000	40000000	1,1
leaf1	chr_1	40000000	41000000	1,1
leaf2	chr_1	40000000	41000000	1,1
leaf3	chr_1	40000000	41000000	1,1
leaf4	chr_1	40000000	41000000	1,1
leaf5	chr_1	40000000	41000000	1,1
leaf6	chr_1	40000000	41000000	1,1
leaf7	chr_1	40000000	41000000	1,1
leaf8	chr_1	40000000	41000000	1,1
leaf9	chr_1	40000000	41000000	1,1
leaf10	chr_1	40000000	41000000	1,1
leaf1	chr_1	41000000	42000000	1,1
leaf2	chr_1	41000000	42000000	1,1
leaf3	chr_1	41000000	42000000	1,1
leaf4	chr_1	41000000	42000000	1,1
leaf5	chr_1	41000000	42000000	1,1
leaf6	chr_1	41000000	42000000	1,1
leaf7	chr_1	41000000	42000000	1,1
leaf8	chr_1	41000000	42000000	1,1
leaf9	chr_1	41000000	42000000	1,1
leaf10	chr_1	41000000	42000000	1,1
leaf1	chr_1	42000000	43000000	1,1
leaf2	chr_1	42000000	43000000	1,1
leaf3	chr_1	42000000	43000000	1,1
leaf4	chr_1	42000000	43000000	1,1
leaf5	chr_1	42000000	43000000	1,1
leaf6	chr_1	42000000	43000000	1,1
leaf7	chr_1	42000000	43000000	1,1
leaf8	chr_1	42000000	43000000	1,1
leaf9	chr_1	42000000	43000000	1,1
leaf10	chr_1	42000000	43000000	1,1
leaf1	chr_1	43000000	44000000	1,1
leaf2	chr_1	43000000	44000000	1,1
leaf3	chr_1	43000000	44000000	1,1
leaf4	chr_1	43000000	44000000	1,1
leaf5	chr_1	43000000	44000000	1,1
leaf6	chr_1	43000000	44000000	1,1
leaf7	chr_1	43000000	44000000	1,1
leaf8	chr_1	43000000	44000000	1,1
leaf9	chr_1	43000000	44000000	1,1
leaf10	chr_1	43000000	44000000	1,1
leaf1	chr_1	44000000	45000000	1,1
leaf2	chr_1	44000000	45000000	1,1
leaf3	chr_1	44000000	45000000	1,1
leaf4	chr_1	44000000	45000000	1,1
leaf5	chr_1	44000000	45000000	1,1
leaf6	chr_1	44000000	45000000	1,1
leaf7	chr_1	44000000	45000000	1,1
leaf8	chr_1	44000000	45000000	1,1
leaf9	chr_1	44000000	45000000	1,1
leaf10	chr_1	44000000	45000000	1,1
leaf1	chr_1	45000000	46000000	1,1
leaf2	chr_1	45000000	46000000	1,1
leaf3	chr_1	45000000	46000000	1,1
leaf4	chr_1	45000000	46000000	1,1
leaf5	chr_1	45000000	46000000	1,1
leaf6	chr_1	45000000	46000000	1,1
leaf7	chr_1	45000000	46000000	1,1
leaf8	chr_1	45000000	46000000	1,1
leaf9	chr_1	45000000	46000000	1,1
leaf10	chr_1	45000000	46000000	1,1
leaf1	chr_1	46000000	47000000	1,1
leaf2	chr_1	46000000	47000000	1,1
leaf3	chr_1	46000000	47000000	1,1
leaf4	chr_1	46000000	47000000	1,1
leaf5	chr_1	46000000	47000000	1,1
leaf6	chr_1	46000000	47000000	1,1
leaf7	chr_1	46000000	47000000	1,1
leaf8	chr_1	46000000	47000000	1,1
leaf9	chr_1	46000000	47000000	1,1
leaf10	chr_1	46000000	47000000	1,1
leaf1	chr_1	47000000	48000000	1,1
leaf2	chr_1	47000000	48000000	1,1
leaf3	chr_1	47000000	48000000	1,1
leaf4	chr_1	47000000	48000000	1,1
leaf5	chr_1	47000000	48000000	1,1
leaf6	chr_1	47000000	48000000	1,1
leaf7	chr_1	47000000	48000000	1,1
leaf8	chr_1	47000000	48000000	1,1
leaf9	chr_1	47000000	48000000	1,1
leaf10	chr_1	47000000	48000000	1,1
leaf1	chr_1	48000000	49000000	1,1
leaf2	chr_1	48000000	49000000	1,1
leaf3	chr_1	48000000	49000000	1,1
leaf4	chr_1	48000000	49000000	1,1
leaf5	chr_1	48000000	49000000	1,1
leaf6	chr_1	48000000	49000000	1,1
leaf7	chr_1	48000000	49000000	1,1
leaf8	chr_1	48000000	49000000	1,1
leaf9	chr_1	48000000	49000000	1,1
leaf10	chr_1	48000000	49000000	1,1
leaf1	chr_1	49000000	50000000	1,1
leaf2	chr_1	49000000	50000000	1,1
leaf3	chr_1	49000000	50000000	1,1
leaf4	chr_1	49000000	50000000	1,1
leaf5	chr_1	49000000	50000000	1,1
leaf6	chr_1	49000000	50000000	1,1
leaf7	chr_1	49000000	50000000	1,1
leaf8	chr_1	49000000	50000000	1,1
leaf9	chr_1	49000000	50000000	1,1
leaf10	chr_1	49000000	50000000	1,1
leaf1	chr_1	50000000	51000000	1,1
leaf2	chr_1	50000000	51000000	1,1
leaf3	chr_1	50000000	51000000	1,1
leaf4	chr_1	50000000	51000000	1,1
leaf5	chr_1	50000000	51000000	1,1
leaf6	chr_1	50000000	51000000	1,1
leaf7	chr_1	50000000	51000000	1,1
leaf8	chr_1	50000000	51000000	1,1
leaf9	chr_1	50000000	51000000	1,1
leaf10	chr_1	50000000	51000000	1,1
leaf1	chr_1	51000000	52000000	1,1
leaf2	chr_1	51000000	52000000	1,1
leaf3	chr_1	51000000	52000000	1,1
leaf4	chr_1	51000000	52000000	1,1
leaf5	chr_1	51000000	52000000	1,1
leaf6	chr_1	51000000	52000000	1,1
leaf7	chr_1	51000000	52000000	1,1
leaf8	chr_1	51000000	52000000	1,1
leaf9	chr_1	51000000	52000000	1,1
leaf10	chr_1	51000000	52000000	1,1
leaf1	chr_1	52000000	53000000	1,1
leaf2	chr_1	52000000	53000000	1,1
leaf3	chr_1	52000000	53000000	1,1
leaf4	chr_1	52000000	53000000	1,1
leaf5	chr_1	52000000	53000000	1,1
leaf6	chr_1	52000000	53000000	1,1
leaf7	chr_1	52000000	53000000	1,1
leaf8	chr_1	52000000	53000000	1,1
leaf9	chr_1	52000000	53000000	1,1
leaf10	chr_1	52000000	53000000	1,1
leaf1	chr_1	53000000	54000000	1,1
leaf2	chr_1	53000000	54000000	1,1
leaf3	chr_1	53000000	54000000	1,1
leaf4	chr_1	53000000	54000000	1,1
leaf5	chr_1	53000000	54000000	1,1
leaf6	chr_1	53000000	54000000	1,1
leaf7	chr_1	53000000	54000000	1,1
leaf8	chr_1	53000000	54000000	1,1
leaf9	chr_1	53000000	54000000	1,1
leaf10	chr_1	53000000	54000000	1,1
leaf1	chr_1	54000000	55000000	1,1
leaf2	chr_1	54000000	55000000	1,1
leaf3	chr_1	54000000	55000000	1,1
leaf4	chr_1	54000000	55000000	1,1
leaf5	chr_1	54000000	55000000	1,1
leaf6	chr_1	54000000	55000000	1,1
leaf7	chr_1	54000000	55000000	1,1
leaf8	chr_1	54000000	55000000	1,1
leaf9	chr_1	54000000	55000000	1,1
leaf10	chr_1	54000000	55000000	1,1
leaf1	chr_1	55000000	56000000	1,1
leaf2	chr_1	55000000	56000000	1,1
leaf3	chr_1	55000000	56000000	1,1
leaf4	chr_1	55000000	56000000	1,1
leaf5	chr_1	55000000	56000000	1,1
leaf6	chr_1	55000000	56000000	1,1
leaf7	chr_1	55000000	56000000	1,1
leaf8	chr_1	55000000	56000000	1,1
leaf9	chr_1	55000000	56000000	1,1
leaf10	chr_1	55000000	56000000	1,1
leaf1	chr_1	56000000	57000000	1,1
leaf2	chr_1	56000000	57000000	1,1
leaf3	chr_1	56000000	57000000	1,1
leaf4	chr_1	56000000	57000000	1,1
leaf5	chr_1	56000000	57000000	1,1
leaf6	chr_1	56000000	57000000	1,1
leaf7	chr_1	56000000	57000000	1,1
leaf8	chr_1	56000000	57000000	1,1
leaf9	chr_1	56000000	57000000	1,1
leaf10	chr_1	56000000	57000000	1,1
leaf1	chr_1	57000000	58000000	1,1
leaf2	chr_1	57000000	58000000	1,1
leaf3	chr_1	57000000	58000000	1,1
leaf4	chr_1	57000000	58000000	1,1
leaf5	chr_1	57000000	58000000	1,1
leaf6	chr_1	57000000	58000000	1,1
leaf7	chr_1	57000000	58000000	1,1
leaf8	chr_1	57000000	58000000	1,1
leaf9	chr_1	57000000	58000000	1,1
leaf10	chr_1	57000000	58000000	1,1
leaf1	chr_1	58000000	59000000	1,1
leaf2	chr_1	58000000	59000000	1,1
leaf3	chr_1	58000000	59000000	1,1
leaf4	chr_1	58000000	59000000	1,1
leaf5	chr_1	58000000	59000000	1,1
leaf6	chr_1	58000000	59000000	1,1
leaf7	chr_1	58000000	59000000	1,1
leaf8	chr_1	58000000	59000000	1,1
leaf9	chr_1	58000000	59000000	1,1
leaf10	chr_1	58000000	59000000	1,1
leaf1	chr_1	59000000	60000000	1,1
leaf2	chr_1	59000000	60000000	1,1
leaf3	chr_1	59000000	60000000	1,1
leaf4	chr_1	59000000	60000000	1,1
leaf5	chr_1	59000000	60000000	1,1
leaf6	chr_1	59000000	60000000	1,1
leaf7	chr_1	59000000	60000000	1,1
leaf8	chr_1	59000000	60000000	1,1
leaf9	chr_1	59000000	60000000	1,1
leaf10	chr_1	59000000	60000000	1,1
leaf1	chr_1	60000000	61000000	1,1
leaf2	chr_1	60000000	61000000	1,1
leaf3	chr_1	60000000	61000000	1,1
leaf4	chr_1	60000000	61000000	1,1
leaf5	chr_1	60000000	61000000	1,1
leaf6	chr_1	60000000	61000000	1,1
leaf7	chr_1	60000000	61000000	1,1
leaf8	chr_1	60000000	61000000	1,1
leaf9	chr_1	60000000	61000000	1,1
leaf10	chr_1	60000000	61000000	1,1
leaf1	chr_1	61000000	62000000	1,1
leaf2	chr_1	61000000	62000000	1,1
leaf3	chr_1	61000000	62000000	1,1
leaf4	chr_1	61000000	62000000	1,1
leaf5	chr_1	61000000	62000000	1,1
leaf6	chr_1	61000000	62000000	1,1
leaf7	chr_1	61000000	62000000	1,1
leaf8	chr_1	61000000	62000000	1,1
leaf9	chr_1	61000000	62000000	1,1
leaf10	chr_1	61000000	62000000	1,1
leaf1	chr_1	62000000	63000000	1,1
leaf2	chr_1	62000000	63000000	1,1
leaf3	chr_1	62000000	63000000	1,1
leaf4	chr_1	62000000	63000000	1,1
leaf5	chr_1	62000000	63000000	1,1
leaf6	chr_1	62000000	63000000	1,1
leaf7	chr_1	62000000	63000000	1,1
leaf8	chr_1	62000000	63000000	1,1
leaf9	chr_1	62000000	63000000	1,1
leaf10	chr_1	62000000	63000000	1,1
leaf1	chr_1	63000000	64000000	1,1
leaf2	chr_1	63000000	64000000	1,1
leaf3	chr_1	63000000	64000000	1,1
leaf4	chr_1	63000000	64000000	1,1
leaf5	chr_1	63000000	64000000	1,1
